nghb_name;nghb_external_code;city_id
Rinconada de La Cruz;958;738
Parque y Presa del Cedazo;1432;738
FOVISSSTE Ojocaliente I;241;738
Ojocaliente las Torres;243;738
Lázaro Cárdenas;244;738
La Estación;245;738
La Purísima;246;738
Ojo de Agua;251;738
Rinconada El Cedazo;1089;738
Jesús Terán Peredo;249;738
IV Centenario;247;738
Vivienda Militar;250;738
Sidusa;252;738
San Jorge;1033;738
Agua Clara;253;738
Balcones de Ojocaliente;254;738
Villa las Palmas;1041;738
Bajío de las Palmas;1085;738
Lomas del Gachupín;1184;738
Ojo de Agua de Palmitas;257;738
Salto de Ojocaliente;258;738
Cima del Chapulín;1030;738
San Ángel;1403;738
Cielo Claro;255;738
Solidaridad 2a Sección;260;738
El Cedazo;1317;738
Villa Las Palmas 2a. Sección;1322;738
Lomas del Chapulín;256;738
Solidaridad 3a Sección;261;738
Tierra Buena;262;738
Cobano de Palmitas;1031;738
Villa Taurina;1407;738
La Lomita;1039;738
Morelos INFONAVIT;263;738
Vista del Sol 2a Sección;264;738
Vista del Sol 3a Sección;265;738
Ojo de Agua INFONAVIT;266;738
La Cruz;269;738
Misión de Santa Fe;270;738
Jardines del Sol;268;738
Vista del Sol 1a Sección;271;738
Jardines de La Convención;274;738
Lic Primo Verdad INEGI;276;738
S.T.E.M.A.;273;738
Ojo de Agua FOVISSSTE 1a Sección;275;738
Fuentes de La Asunción;277;738
Jardines de La Luz;278;738
Colomos;744;740
El Canal;557;744
Pabellón de Hidalgo;552;744
Morelos;568;744
El Potrerillo;569;744
Túnel de Potrerillo;1207;744
Las Camas;567;744
Peña Blanca;566;744
Los Negritos;562;744
La Boquilla Grande;564;744
Rancho La Laguna de Piedra;560;744
Mirasoles;561;744
La Boquilla;565;744
Fresnillo;541;744
El Ají ladero;535;744
Las Rosas;563;744
Mesa el Conejo;559;744
Cosío Centro;570;741
Luis Donaldo Colosio;996;741
Villas del Potrerito;1151;741
Rancho El Potrerito;1294;741
Popular;999;741
Santa Cruz;998;741
Mexiquito;997;741
Zona Centro;1;738
María;357;748
Santa Isabel;1347;748
El Tirón;349;748
La Aurora;351;748
La Sociedad San Juan;355;748
Cerrada San Francisco;1413;748
La Guadalupana;352;748
Revolución;358;748
San José Buenavista;360;748
Viñedos San José;362;748
San José del Barranco;368;748
Parque Industrial San Francisco;1026;748
El Chamizal;363;748
Villa de Guadalupe;371;748
Fracción de La Trinidad II;364;748
Mary;366;748
Monserrat;367;748
28 de Abril;370;748
Rancho Santa Fe;1396;748
San Juan;369;748
La Escondida;365;748
Santa Bárbara;1344;748
El Cardonal;1395;748
Los Sabinos;388;748
San Cristóbal;390;748
Zacatenco;397;748
Santa Elena;394;748
Viñedos los Zapata;395;748
La Concepción;379;748
La Gloria;380;748
La Providencia;382;748
El Barranco;373;748
El Espíritu;375;748
El Gigante;376;748
Alfredo Soriano Lopez;372;748
El Cortijo;374;748
La Paz;381;748
La Unión;384;748
San Pedro Victoria de Arriba;392;748
Los Lirios;387;748
Santa Anita;393;748
Las Carmelitas;385;748
San Angel;389;748
Viñedos Xoconoxtle;396;748
El Refugio;377;748
Elena;378;748
La Trinidad;383;748
Los Gonzalez;386;748
San Pedro Victoria de Abajo;391;748
Los Negritos;398;738
La Loma de los Negritos;1110;738
San Felipe (Viñedos San Felipe);1113;738
Sandovales;400;738
Trojes de Alonso;401;738
Coyotes Norte;399;738
Rio Curtidores;402;738
Cuauhtémoc;403;738
Hacienda Nueva;404;738
Cariñan;405;738
Torrecillas;406;738
